317.728027,1.500000,181283.531040
306.579981,1.540816,181141.505166
297.242011,1.581633,180904.831667
289.809550,1.622449,180546.844801
284.422762,1.663265,180039.234314
281.240101,1.704082,179366.077436
280.406979,1.744898,178545.776198
282.059127,1.785714,177654.025940
286.420052,1.826531,176839.513369
294.020322,1.867347,176320.998519
305.971684,1.908163,176323.953069
324.167643,1.948980,176870.259698
351.584226,1.989796,177296.847411
394.240627,2.030612,175337.998660
470.406270,2.071429,166281.846712
650.308462,2.112245,144424.399965
1290.444381,2.153061,108727.935037
3943.207954,2.193878,64577.951790
3967.013733,2.234694,75163.893136
1133.582594,2.275510,66934.584398
416.622227,2.316327,63143.785074
228.163649,2.357143,64984.670933
155.088989,2.397959,67954.776581
118.298388,2.438776,70861.656222
96.635917,2.479592,73424.197250
83886.271877,2.520408,2777703.014963
145038.450977,2.561224,2690859.554184
65.336708,2.602041,78981.682973
59.696703,2.642857,80256.901428
55.185318,2.683673,81311.158460
51.469958,2.724490,82178.821280
48.335391,2.765306,82889.884780
45.637364,2.806122,83470.224977
43.276245,2.846939,83941.917004
18211.994454,2.887755,1641484.777071
39.301407,2.928571,84630.904256
37.598243,2.969388,84876.803452
16803.391902,3.010204,764607.568849
34.613378,3.051020,85225.526869
33.291858,3.091837,85344.519576
32.064445,3.132653,85435.035115
30.919791,3.173469,85502.008566
29.848565,3.214286,85549.500463
28.842995,3.255102,85580.856220
27.896531,3.295918,85598.837051
27.003594,3.336735,85605.726905
26.159385,3.377551,85603.419489
25.359741,3.418367,85593.488933
24.601020,3.459184,85577.247124
nan,3.500000,nan
